product_id,company_id,ship_from_site_id,customer_tpartner_id,final_quantity_requested,requested_delivery_date,order_date,actual_delivery_date,promised_delivery_date,status,id,cust_order_id
abc123,ACPG,mnop1234,Mark LLC,4.0,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,OPEN,OO_34bde896-9aa9-11ee-9e54-acde48001122,coid_34c27b54-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,6.0,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,OPEN,OO_34bde968-9aa9-11ee-9e54-acde48001122,coid_34c27c3a-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,0.0,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,OPEN,OO_34bde99a-9aa9-11ee-9e54-acde48001122,coid_34c27c6c-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,3.0,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,OPEN,OO_34bde9c2-9aa9-11ee-9e54-acde48001122,coid_34c27c94-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,0.0,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,OPEN,OO_34bde9ea-9aa9-11ee-9e54-acde48001122,coid_34c27cb2-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,5.0,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,OPEN,OO_34bdea12-9aa9-11ee-9e54-acde48001122,coid_34c27cda-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,4.0,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,OPEN,OO_34bdea3a-9aa9-11ee-9e54-acde48001122,coid_34c27d02-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,0.0,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,OPEN,OO_34bdea58-9aa9-11ee-9e54-acde48001122,coid_34c27d2a-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,8.0,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,OPEN,OO_34bdea80-9aa9-11ee-9e54-acde48001122,coid_34c27d48-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,1.0,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,OPEN,OO_34bdeaa8-9aa9-11ee-9e54-acde48001122,coid_34c27d70-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,2.0,2023-10-13T14:49:58.303382-03:00,2023-10-13T14:49:58.303382-03:00,2023-10-13T14:49:58.303382-03:00,2023-10-13T14:49:58.303382-03:00,OPEN,OO_34bdeac6-9aa9-11ee-9e54-acde48001122,coid_34c27d98-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,Mark LLC,1.0,2023-10-14T14:49:58.303382-03:00,2023-10-14T14:49:58.303382-03:00,2023-10-14T14:49:58.303382-03:00,2023-10-14T14:49:58.303382-03:00,OPEN,OO_34bdeaee-9aa9-11ee-9e54-acde48001122,coid_34c27dc0-9aa9-11ee-9e54-acde48001122
