product_id,company_id,from_site_id,shipped_qty,expected_ship_date,actual_ship_date,actual_delivery_date,db_creation_dttm,id,cust_order_id,cust_order_line_id
abc123,ACPG,mnop1234,4.0,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,2023-10-03T14:49:58.303382-03:00,OO_34bde896-9aa9-11ee-9e54-acde48001122,coid_34c27b54-9aa9-11ee-9e54-acde48001122,colid_34c7d0e0-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,6.0,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,2023-10-04T14:49:58.303382-03:00,OO_34bde968-9aa9-11ee-9e54-acde48001122,coid_34c27c3a-9aa9-11ee-9e54-acde48001122,colid_34c7d1da-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,0.0,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,2023-10-05T14:49:58.303382-03:00,OO_34bde99a-9aa9-11ee-9e54-acde48001122,coid_34c27c6c-9aa9-11ee-9e54-acde48001122,colid_34c7d202-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,3.0,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,2023-10-06T14:49:58.303382-03:00,OO_34bde9c2-9aa9-11ee-9e54-acde48001122,coid_34c27c94-9aa9-11ee-9e54-acde48001122,colid_34c7d22a-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,0.0,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,2023-10-07T14:49:58.303382-03:00,OO_34bde9ea-9aa9-11ee-9e54-acde48001122,coid_34c27cb2-9aa9-11ee-9e54-acde48001122,colid_34c7d252-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,5.0,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,2023-10-08T14:49:58.303382-03:00,OO_34bdea12-9aa9-11ee-9e54-acde48001122,coid_34c27cda-9aa9-11ee-9e54-acde48001122,colid_34c7d27a-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,4.0,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,2023-10-09T14:49:58.303382-03:00,OO_34bdea3a-9aa9-11ee-9e54-acde48001122,coid_34c27d02-9aa9-11ee-9e54-acde48001122,colid_34c7d2a2-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,0.0,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,2023-10-10T14:49:58.303382-03:00,OO_34bdea58-9aa9-11ee-9e54-acde48001122,coid_34c27d2a-9aa9-11ee-9e54-acde48001122,colid_34c7d2ca-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,8.0,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,2023-10-11T14:49:58.303382-03:00,OO_34bdea80-9aa9-11ee-9e54-acde48001122,coid_34c27d48-9aa9-11ee-9e54-acde48001122,colid_34c7d2e8-9aa9-11ee-9e54-acde48001122
abc123,ACPG,mnop1234,1.0,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,2023-10-12T14:49:58.303382-03:00,OO_34bdeaa8-9aa9-11ee-9e54-acde48001122,coid_34c27d70-9aa9-11ee-9e54-acde48001122,colid_34c7d310-9aa9-11ee-9e54-acde48001122
