id,order_line_id,supplier_tpartner_id,product_id,company_id,order_type,ship_to_site_id,order_id,planned_delivery_date,supplier_description,units_shipped,actual_delivery_date,package_id,transportation_mode,shipment_status,carrier_id,uom,creation_date
OLS_32903808-9aa9-11ee-9e54-acde48001122,OLS_32903808-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_1,2021-03-29T14:49:58Z,Mark LLC,4.0,2021-05-12T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-03-19T14:49:58Z
OLS_32903966-9aa9-11ee-9e54-acde48001122,OLS_32903966-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_2,2021-04-15T07:49:58Z,Mark LLC,7.0,2021-05-29T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-04-05T07:49:58Z
OLS_329039a2-9aa9-11ee-9e54-acde48001122,OLS_329039a2-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_3,2021-05-02T01:49:58Z,Mark LLC,5.0,2021-06-25T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-04-22T01:49:58Z
OLS_329039ca-9aa9-11ee-9e54-acde48001122,OLS_329039ca-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_4,2021-05-18T19:49:58Z,Mark LLC,1.0,2021-06-13T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-05-08T19:49:58Z
OLS_329039f2-9aa9-11ee-9e54-acde48001122,OLS_329039f2-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_5,2021-06-04T13:49:58Z,Mark LLC,1.0,2021-06-18T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-05-25T13:49:58Z
OLS_32903a1a-9aa9-11ee-9e54-acde48001122,OLS_32903a1a-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_6,2021-06-21T07:49:58Z,Mark LLC,12.0,2021-07-21T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-06-11T07:49:58Z
OLS_32903a42-9aa9-11ee-9e54-acde48001122,OLS_32903a42-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_7,2021-07-08T01:49:58Z,Mark LLC,1.0,2021-07-25T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-06-28T01:49:58Z
OLS_32903a60-9aa9-11ee-9e54-acde48001122,OLS_32903a60-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_8,2021-07-24T19:49:58Z,Mark LLC,0.0,2021-09-26T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-07-14T19:49:58Z
OLS_32903a88-9aa9-11ee-9e54-acde48001122,OLS_32903a88-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_9,2021-08-10T13:49:58Z,Mark LLC,13.0,2021-10-09T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-07-31T13:49:58Z
OLS_32903ab0-9aa9-11ee-9e54-acde48001122,OLS_32903ab0-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_10,2021-08-27T07:49:58Z,Mark LLC,13.0,2021-09-28T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-08-17T07:49:58Z
OLS_32903ad8-9aa9-11ee-9e54-acde48001122,OLS_32903ad8-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_11,2021-09-13T02:49:58Z,Mark LLC,2.0,2021-10-11T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-09-03T01:49:58Z
OLS_32903af6-9aa9-11ee-9e54-acde48001122,OLS_32903af6-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_12,2021-09-29T20:49:58Z,Mark LLC,2.0,2021-11-29T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-09-19T20:49:58Z
OLS_32903b1e-9aa9-11ee-9e54-acde48001122,OLS_32903b1e-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_13,2021-10-16T14:49:58Z,Mark LLC,12.0,2021-11-22T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-10-06T14:49:58Z
OLS_32903b46-9aa9-11ee-9e54-acde48001122,OLS_32903b46-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_14,2021-11-02T08:49:58Z,Mark LLC,1.0,2021-12-12T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-10-23T08:49:58Z
OLS_32903b6e-9aa9-11ee-9e54-acde48001122,OLS_32903b6e-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_15,2021-11-19T02:49:58Z,Mark LLC,2.0,2021-12-24T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-11-09T02:49:58Z
OLS_32903b8c-9aa9-11ee-9e54-acde48001122,OLS_32903b8c-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_16,2021-12-05T20:49:58Z,Mark LLC,1.0,2022-01-24T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-11-25T20:49:58Z
OLS_32903bb4-9aa9-11ee-9e54-acde48001122,OLS_32903bb4-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_17,2021-12-22T14:49:58Z,Mark LLC,2.0,2022-02-06T14:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-12-12T14:49:58Z
OLS_32903bdc-9aa9-11ee-9e54-acde48001122,OLS_32903bdc-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_18,2022-01-08T08:49:58Z,Mark LLC,1.0,2022-02-25T08:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2021-12-29T08:49:58Z
OLS_32903c04-9aa9-11ee-9e54-acde48001122,OLS_32903c04-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_19,2022-01-25T02:49:58Z,Mark LLC,4.0,2022-02-15T02:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-01-15T02:49:58Z
OLS_32903c22-9aa9-11ee-9e54-acde48001122,OLS_32903c22-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_20,2022-02-10T20:49:58Z,Mark LLC,1.0,2022-03-31T20:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-01-31T20:49:58Z
OLS_32903c4a-9aa9-11ee-9e54-acde48001122,OLS_32903c4a-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_21,2022-02-27T14:49:58Z,Mark LLC,1.0,2022-04-07T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-02-17T14:49:58Z
OLS_32903c72-9aa9-11ee-9e54-acde48001122,OLS_32903c72-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_22,2022-03-16T08:49:58Z,Mark LLC,3.0,2022-04-07T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-03-06T08:49:58Z
OLS_32903d1c-9aa9-11ee-9e54-acde48001122,OLS_32903d1c-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_23,2022-04-02T02:49:58Z,Mark LLC,1.0,2022-04-22T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-03-23T02:49:58Z
OLS_32903d44-9aa9-11ee-9e54-acde48001122,OLS_32903d44-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_24,2022-04-18T19:49:58Z,Mark LLC,10.0,2022-06-07T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-04-08T19:49:58Z
OLS_32903d6c-9aa9-11ee-9e54-acde48001122,OLS_32903d6c-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_25,2022-05-05T13:49:58Z,Mark LLC,5.0,2022-05-23T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-04-25T13:49:58Z
OLS_32903d8a-9aa9-11ee-9e54-acde48001122,OLS_32903d8a-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_26,2022-05-22T07:49:58Z,Mark LLC,0.0,2022-06-23T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-05-12T07:49:58Z
OLS_32903db2-9aa9-11ee-9e54-acde48001122,OLS_32903db2-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_27,2022-06-08T01:49:58Z,Mark LLC,1.0,2022-07-10T01:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-05-29T01:49:58Z
OLS_32903dda-9aa9-11ee-9e54-acde48001122,OLS_32903dda-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_28,2022-06-24T19:49:58Z,Mark LLC,5.0,2022-07-12T19:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-06-14T19:49:58Z
OLS_32903e02-9aa9-11ee-9e54-acde48001122,OLS_32903e02-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_29,2022-07-11T13:49:58Z,Mark LLC,12.0,2022-08-18T13:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-07-01T13:49:58Z
OLS_32903e2a-9aa9-11ee-9e54-acde48001122,OLS_32903e2a-9aa9-11ee-9e54-acde48001122,1,abc123,ACPG,PO,mnop1234,Order_30,2022-07-28T07:49:58Z,Mark LLC,3.0,2022-09-04T07:49:58Z,SCN_RESERVED_NO_VALUE_PROVIDED,LTL,OPEN,CARR-001,EACHES,2022-07-18T07:49:58Z
